1,1. 11.(화),올래밥상 금천점,4,"39,000"
2,1. 13.(목),본가집가마솥설렁탕,4,"40,000"
3,1. 14. (금),산촌산쭈꾸미,4,"64,000"
4,1. 17.(월),보승회관 금천구청점,6,"49,000"
5,1. 18.(화),김명태 금천시흥점,4,"57,000"
6,1. 20.(목),남도상차림,4,"59,000"
7,1. 20.(목),이디야 금천롯데마트점,6,"21,500"
8,1. 21.(금),속초코다리찜,5,"55,000"
9,1. 25.(화),곤트란쉐리에,6,"27,700"
10,1. 26.(수),낙지명장,5,"99,000"
11,1. 27.(목),본도시락,6,"55,900"
12,1. 28.(금),돼지집,3,"30,000"
1,2. 8.(화),소명생고기,6,"90,000"
2,2. 10.(목),보승회관,5,"42,000"
3,2. 15.(화),항아리식당,4,"34,000"
4,2. 16.(수),소원가정식,6,"72,000"
5,2. 18.(금),탐나종합어시장 가산점,4,"132,000"
6,2. 22.(화),구포국수,3,"37,000"
7,2. 25.(금),신원휘생태탕,6,"96,000"
8,2. 25.(금),㈜금관한우,6,"207,910"
9,2. 28.(월),㈜쿠팡,-,"168,390"
1,3. 4.(금),삼은식당,4,"124,000"
2,3. 7.(월),분짜하노이 금천롯데캐슬점,3,"28,500"
3,3. 10.(목),㈜소명생고기,6,"60,000"
4,3. 11.(금),청평민물매운탕,6,"99,000"
5,3. 8.(화),오고또오고,5,"57,000"
6,3. 14.(월),예소담,5,"61,000"
7,3. 15.(화),보승회관 금천구청점,4,"33,000"
8,3. 16.(수),카오룽,6,"86,500"
9,3. 18.(금),양천골흑염소요리전문점,6,"124,000"
10,3. 18.(금),보영정육식당,6,"164,000"
11,3. 22.(화),㈜소명생고기,6,"168,000"
12,3. 25. (금),본가집가마솥설렁탕,6,"64,000"
13,3. 28.(월),오가네정육점식당,3,"88,000"
14,3. 29.(화),이레향,5,"127,000"
1,4. 1.(금),암소한마리,8,"320,000"
2,4. 15.(금),웰빙건강쌈,5,"154,000"
3,4. 22.(금),고창풍천장어,6,"180,000"
4,4. 26.(화),우리집,5,"35,000"
5,4. 29.(금),플러버,4,"90,500"
6,4. 29.(금),막회무침나라,5,"59,000"
7,4. 29.(금),금천골 오리명가,6,"54,000"
1,5. 3.(화),달쓰브릿지,2,"16,600"
2,5. 3.(수),막회무침나라,5,"165,000"
3,5. 11.(수),고봉민김밥,3,"29,000"
4,5. 12.(목),구구함박,6,"73,500"
5,5. 12.(목),소명생고기,4,"36,000"
6,5. 17.(화),귀빈,6,"48,000"
7,5. 19.(목),생선명가거북명태,4,"40,000"
8,5. 24.(화),소명생고기,5,"130,000"
9,5. 26.(목),국수나무,4,"30,200"
10,5. 27.(금),강강술래,5,"120,000"
1,6. 2.(목),수뿌레닭갈비,3,"80,000"
2,6. 9.(목),쿠팡(주),-,"149,810"
3,6. 10. (금),속초코다리,5,"80,000"
4,6. 14.(화),남도상차림,4,"88,000"
5,6. 15.(수),두루치기,7,"63,000"
6,6. 17.(금),만랩커피 서초법원점,3,"13,400"
7,6. 23.(목),산골녹두파전,4,"52,000"
8,6. 24.(금),부뚜막청국장,8,"104,000"
9,6. 28.(화),더카페 가산 노블루체,3,"11,200"
10,6. 28.(화),본가집가마솥설렁탕,8,"227,000"
11,6. 30.(목),서대문김치찜,5,"42,000"
12,6. 30.(목),분짜하노이,4,"38,000"
1,7. 1.(금),삼은식당,4,"79,000"
2,7. 5.(화),올래밥상,6,"56,000"
3,7. 8. (금),무교동낙지샤브칼국수,5,"96,000"
4,7. 8.(금),한방삼계명가,6,"84,000"
5,7. 11.(월),차림인,6,"180,000"
6,7. 11.(월),본가집가마솥설렁탕,10,"237,000"
7,7. 13.(수),시골보쌈,7,"56,000"
8,7. 15.(금),채선당,6,"91,400"
9,7. 19.(화),맛쟁이해물아구찜,9,"251,000"
10,7. 22.(금),종가집양반김밥,2,"17,500"
11,7. 28.(목),이레향,4,"115,000"
12,7. 28.(목),채선당,3,"50,600"
13,7. 28.(목),채선당,29,"710,000"
14,7. 29.(금),카오룽,4,"56,000"
15,7. 29.(금),유월식당,6,"48,000"
1,8. 1.(월),유월식당,4,"32,000"
2,8. 3.(수),수라냉면,5,"43,500"
3,8. 11.(목),강강술래 시흥점,5,"130,000"
4,8. 10.(수),제주살림,4,"101,000"
5,8. 12.(금),유월식당,6,"48,000"
6,8. 17.(수),소명생고기,9,"250,000"
7,8. 18.(목),이화순대국,9,"79,000"
8,8. 23.(화),돼지집,8,"92,000"
9,8. 25.(목),차이나 소원,3,"36,000"
10,8. 25.(목),암소한마리,10,"359,000"
11,8. 26.(금),본가집가마솥설렁탕,7,"136,000"
12,8. 26.(금),함께그린카페,7,"19,000"
1,9. 2.(금),고기원칙,10,"341,500"
2,9. 5.(월),강강술래 시흥점,5,"167,000"
3,9. 2.(금),원주옻닭전문점,12,"270,000"
4,9. 5.(화),롯데마트,-,"181,630"
5,9. 6.(화),카오룽,6,"76,000"
6,9. 7.(수),깡통삼겹살,6,"165,000"
7,9. 8.(목),동우황태북어국,8,"68,000"
8,9. 15.(목),롯데마트 금천점,25,"77,360"
9,9. 15.(목),이화순대국,4,"32,000"
10,9. 22.(목),소용궁,6,"73,000"
11,9. 22.(목),깡통삼겹살,5,"135,000"
12,9. 23.(금),피자헛,38,"386,200"
13,9. 23.(금),도미노피자,23,"213,800"
14,9. 28.(수),본가집가마솥설렁탕,6,"96,000"
15,9. 29.(목),분짜하노이,6,"78,000"
16,9. 29.(목),신원휘생태탕,6,"68,000"
17,9. 29.(목),고봉민김밥,5,"22,500"
18,9. 30.(금),보승회관,7,"74,500"
1,10. 06.(목),삼은식당,3,"107,000"
2,10. 11.(화),마쯔일식,5,"164,000"
3,10. 13.(목),파리바게뜨,3,"19,200"
4,10. 14.(금),본가부대찌개양푼갈비,4,"44,000"
5,10. 15.(토),파리바게뜨,4,"34,500"
6,10. 15.(토),메가커피,4,"14,900"
7,10. 16.(일),파리바게뜨,6,"24,000"
8,10. 17.(월),구구함박,5,"51,000"
9,10. 19.(수),신원휘생태탕,7,"91,000"
10,10. 21.(금),이화순대국,6,"51,000"
11,10. 21.(금),스타벅스,8,"60,500"
12,10. 27.(목),두더커피,4,"20,000"
13,10. 27.(목),광양불고기2호점,6,"199,000"
14,10. 27.(목),우리동네청년초밥,4,"39,600"
15,10. 28.(금),홍익돈까스,4,"62,900"
1,11. 3.(목),롯데마트금천점,15,"7,960"
2,11. 3.(목),뉴달하브레드,15,"78,200"
3,11. 7.(월),채선당,3,"38,700"
4,11. 7.(월),소명생고기,7,"105,000"
5,11. 9.(수),춘천옥,5,"144,000"
6,11.10.(목),강강술래,4,"148,000"
7,11. 11.(금),신원휘생태탕,8,"137,000"
8,11. 15.(화),쿠팡(주),-,"149,510"
9,11. 15.(화),구포국수,7,"110,000"
10,11. 17.(목),보승회관,4,"34,000"
11,11. 16.(수),에그셀런트,6,"34,700"
12,11. 25.(금),우리동네청년초밥,6,"87,200"
13,11. 25.(금),실크로드,16,"433,000"
14,11. 30.(수),무교동낙지샤브칼국수,4,"82,000"
1,12. 2.(금),롯데마트금천점,13,"29,860"
2,12. 5.(월),동흥관,13,"202,000"
3,12. 9.(금),비스트로딤섬,3,"44,000"
4,12. 9.(금),탐나종합어시장,4,"113,000"
5,12. 13.(화),분짜하노이,4,"37,500"
6,12. 14.(수),파리바게트,10,"50,000"
7,12. 14.(수),통영해물가,10,"250,000"
8,12. 15.(목),불타는삼겹살,4,"103,000"
9,12. 15.(목),벨구스토,2,"10,920"
10,12. 15.(목),금나래식당,17,"260,000"
11,12. 16.(금),속초코다리찜,6,"81,000"
12,12. 19.(월),스타벅스,3,"60,000"
13,12. 20.(화),불타는삼겹살,5,"100,000"
14,12. 20.(화),카오룽,4,"64,000"
